# PICO MHD full sky SED 
# fwhm_out = 240.0 
# Channels      Mean SED        RMS SED         SED ERR         Mean SED NF     
 
21.00000000     2.22072869e-13  1.50566041e-05  3.92303327e-11  2.33083619e-13 
25.00000000     1.34854149e-13  9.05526270e-06  2.56565846e-11  1.37902403e-13 
30.00000000     8.18126984e-14  5.39834607e-06  1.81710994e-11  7.92165002e-14 
36.00000000     4.60287791e-14  3.32139569e-06  1.23613443e-11  4.48609328e-14 
43.20000000     2.32123716e-14  2.17990368e-06  1.24767960e-11  2.44992607e-14 
51.80000000     1.17138194e-14  1.60982137e-06  9.04637047e-12  1.21482294e-14 
62.20000000     4.86712282e-15  1.41401643e-06  8.37408503e-12  4.13869116e-15 
74.60000000     -1.37678551e-15 1.49572107e-06  6.29321541e-12  -1.55569022e-15
89.60000000     -6.58494177e-15 1.82458991e-06  4.35955437e-12  -6.43910151e-15
107.50000000    -9.94952363e-15 2.43842472e-06  3.51924645e-12  -1.15625329e-14
129.00000000    -1.85160358e-14 3.47571332e-06  3.58250246e-12  -1.81779582e-14
154.80000000    -2.80378399e-14 5.24965663e-06  2.83766431e-12  -2.81456417e-14
185.80000000    -4.45497205e-14 8.46964221e-06  5.59715116e-12  -4.51219055e-14
222.90000000    -7.73059370e-14 1.48036078e-05  6.62434498e-12  -7.72296888e-14
267.50000000    -1.45222671e-13 2.87433948e-05  4.62551162e-12  -1.45594780e-13
321.00000000    -3.12467894e-13 6.36580843e-05  6.43075161e-12  -3.10923946e-13
385.20000000    -7.75120349e-13 1.66133228e-04  7.66097110e-12  -7.76226855e-13
462.20000000    -2.34445422e-12 5.29821663e-04  1.60762476e-11  -2.34244873e-12
554.70000000    -8.88990146e-12 2.15903279e-03  7.68736841e-11  -8.88945040e-12
665.60000000    -4.41196731e-11 1.17883180e-02  3.20992729e-10  -4.41412489e-11
798.70000000    -3.01027615e-10 9.17392143e-02  1.99272691e-09  -3.01228449e-10
